# Wordlist



# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO
163	Xiamen	bite	7	咬	1	41	bite (V)	536	咬
164	Anyi	bite	7	啮(ngat8)	0	42	bite (V)	536	啮
165	Beijing	bite	7	咬	1	41	bite (V)	536	咬
166	Wenzhou	bite	7	咬	1	41	bite (V)	536	咬
167	Wuhan	bite	7	咬	1	41	bite (V)	536	咬
168	Taiyuan	bite	7	咬	1	41	bite (V)	536	咬
169	Yuci	bite	7	咬	1	41	bite (V)	536	咬
170	Changsha	bite	7	[]nga35	1	41	bite (V)	536	咬
171	Shuangfeng	bite	7	[]nga#~35	1	41	bite (V)	536	咬
#
172	Guangzhou	black	8	黑	0	45	black	541	黑
173	Suzhou	black	8	黑	0	45	black	541	黑
174	Meixian	black	8	乌	2	43	black	541	乌
175	Nanchang	black	8	乌（乌猫、乌狗）、青（布）、黑	0	45	black	541	黑
176	Fuzhou	black	8	乌	2	43	black	541	乌
177	Fuzhou	black	8	青	1	44	black	541	青
178	Ningxia	black	8	黑	0	45	black	541	黑
179	Lianchang	black	8	乌	2	43	black	541	乌
180	Ningbo	black	8	黑	0	45	black	541	黑
181	Yingshan	black	8	黑	0	45	black	541	黑
182	Chengdu	black	8	黑	0	45	black	541	黑
183	Zhanping	black	8	乌	2	43	black	541	乌
184	Shanghai	black	8	黑	0	45	black	541	黑
185	Shanghai_B	black	8	黑	0	45	black	541	黑
186	Xiamen	black	8	乌	2	43	black	541	乌
187	Anyi	black	8	黑	1	45	black	541	黑
188	Beijing	black	8	黑	1	45	black	541	黑
189	Wenzhou	black	8	黑	0	45	black	541	黑
190	Wenzhou	black	8	乌	2	43	black	541	乌
191	Wenzhou	black	8	青	1	44	black	541	青
192	Taibei	black	8	oo44烏	2	43	black	541	乌
193	Wuhan	black	8	黑	0	45	black	541	黑
194	Wuhan	black	8	乌	2	43	black	541	乌
195	Wuhan	black	8	青（“青”不同于“黑”）	1	44	black	541	青
196	Taiyuan	black	8	黑	0	45	black	541	黑
197	Yuci	black	8	黑	0	45	black	541	黑
198	Changsha	black	8	黑	0	45	black	541	黑
199	Changsha	black	8	青	1	44	black	541	青
200	Shuangfeng	black	8	黑	0	45	black	541	黑
201	Shuangfeng	black	8	青	1	44	black	541	青
#
202	Guangzhou	blood	9	血	0	47	blood	576	血
203	Guangzhou	blood	9	猪红	1	46	blood	576	猪红
204	Suzhou	blood	9	血	0	47	blood	576	血
205	Meixian	blood	9	血	0	47	blood	576	血
206	Nanchang	blood	9	血	0	47	blood	576	血
207	Fuzhou	blood	9	血	0	47	blood	576	血
208	Ningxia	blood	9	血	0	47	blood	576	血
209	Lianchang	blood	9	血	0	47	blood	576	血
210	Ningbo	blood	9	血	0	47	blood	576	血
211	Yingshan	blood	9	血	0	47	blood	576	血
212	Chengdu	blood	9	血	0	47	blood	576	血
213	Zhanping	blood	9	血	0	47	blood	576	血
214	Shanghai	blood	9	血	0	47	blood	576	血
215	Shanghai_B	blood	9	血	0	47	blood	576	血
216	Xiamen	blood	9	血	0	47	blood	576	血
217	Anyi	blood	9	血	0	47	blood	576	血
218	Beijing	blood	9	血	0	47	blood	576	血
