# Wordlist
@json: {"seeds": ["Nanchang,Yuci,Shanghai", "Fuzhou,Yingshan,Beijing"]}

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO	SEEDID	LOAN
167	Wuhan	bite	7	咬	1	41	bite (V)	536	咬	41	0
168	Taiyuan	bite	7	咬	1	41	bite (V)	536	咬	41	0
169	Yuci	bite	7	咬	1	41	bite (V)	536	咬	41	0
170	Changsha	bite	7	[]nga35	1	41	bite (V)	536	咬	41	0
171	Shuangfeng	bite	7	[]nga#~35	1	41	bite (V)	536	咬	41	0
#
172	Guangzhou	black	8	黑	0	45	black	541	黑	45	0
173	Suzhou	black	8	黑	0	45	black	541	黑	45	0
174	Meixian	black	8	乌	2	43	black	541	乌	43	0
175	Nanchang	black	8	乌（乌猫、乌狗）、青（布）、黑	0	45	black	541	黑	45	0
176	Fuzhou	black	8	乌	2	43	black	541	乌	43	0
177	Fuzhou	black	8	青	1	44	black	541	青	44	0
178	Ningxia	black	8	黑	0	45	black	541	黑	45	0
179	Lianchang	black	8	乌	2	43	black	541	乌	43	0
180	Ningbo	black	8	黑	0	45	black	541	黑	45	0
181	Yingshan	black	8	黑	0	45	black	541	黑	45	0
182	Chengdu	black	8	黑	0	45	black	541	黑	45	0
183	Zhanping	black	8	乌	2	43	black	541	乌	43	0
184	Shanghai	black	8	黑	0	45	black	541	黑	45	0
185	Shanghai_B	black	8	黑	0	45	black	541	黑	45	0
186	Xiamen	black	8	乌	2	43	black	541	乌	43	0
187	Anyi	black	8	黑	1	45	black	541	黑	45	0
188	Beijing	black	8	黑	1	45	black	541	黑	45	0
189	Wenzhou	black	8	黑	0	45	black	541	黑	45	0
190	Wenzhou	black	8	乌	2	43	black	541	乌	43	0
191	Wenzhou	black	8	青	1	44	black	541	青	44	0
192	Taibei	black	8	oo44烏	2	43	black	541	乌	43	0
193	Wuhan	black	8	黑	0	45	black	541	黑	45	0
194	Wuhan	black	8	乌	2	43	black	541	乌	43	0
195	Wuhan	black	8	青（“青”不同于“黑”）	1	44	black	541	青	44	0
196	Taiyuan	black	8	黑	0	45	black	541	黑	45	0
197	Yuci	black	8	黑	0	45	black	541	黑	45	0
198	Changsha	black	8	黑	0	45	black	541	黑	45	0
199	Changsha	black	8	青	1	44	black	541	青	44	0
200	Shuangfeng	black	8	黑	0	45	black	541	黑	45	0
201	Shuangfeng	black	8	青	1	44	black	541	青	44	0
#
202	Guangzhou	blood	9	血	0	47	blood	576	血	47	0
203	Guangzhou	blood	9	猪红	1	46	blood	576	猪红	46	0
204	Suzhou	blood	9	血	0	47	blood	576	血	47	0
205	Meixian	blood	9	血	0	47	blood	576	血	47	0
206	Nanchang	blood	9	血	0	47	blood	576	血	47	0
207	Fuzhou	blood	9	血	0	47	blood	576	血	47	0
208	Ningxia	blood	9	血	0	47	blood	576	血	47	0
209	Lianchang	blood	9	血	0	47	blood	576	血	47	0
210	Ningbo	blood	9	血	0	47	blood	576	血	47	0
211	Yingshan	blood	9	血	0	47	blood	576	血	47	0
212	Chengdu	blood	9	血	0	47	blood	576	血	47	0
213	Zhanping	blood	9	血	0	47	blood	576	血	47	0
214	Shanghai	blood	9	血	0	47	blood	576	血	47	0
215	Shanghai_B	blood	9	血	0	47	blood	576	血	47	0
216	Xiamen	blood	9	血	0	47	blood	576	血	47	0
217	Anyi	blood	9	血	0	47	blood	576	血	47	0
218	Beijing	blood	9	血	0	47	blood	576	血	47	0
219	Wenzhou	blood	9	血	0	47	blood	576	血	47	0
220	Taibei	blood	9	hueh32血	0	47	blood	576	血	47	0
221	Wuhan	blood	9	血	0	47	blood	576	血	47	0
222	Taiyuan	blood	9	血	0	47	blood	576	血	47	0
223	Yuci	blood	9	血	0	47	blood	576	血	47	0
224	Changsha	blood	9	血	0	47	blood	576	血	47	0
225	Shuangfeng	blood	9	血	0	47	blood	576	血	47	0
#
2736	Guangzhou	blow	106	吹	0	673	blow (V)	585	吹	673	0
2737	Suzhou	blow	106	吹	0	673	blow (V)	585	吹	673	0
2738	Meixian	blow	106	吹[风]	0	673	blow (V)	585	吹	673	0
2739	Meixian	blow	106	歕[人]	1	672	blow (V)	585	歕	672	0
2740	Nanchang	blow	106	吹	0	673	blow (V)	585	吹	673	0
2741	Fuzhou	blow	106	吹	0	673	blow (V)	585	吹	673	0
2742	Fuzhou	blow	106	歕	1	672	blow (V)	585	歕	672	0
2743	Ningxia	blow	106	吹	0	673	blow (V)	585	吹	673	0
2744	Lianchang	blow	106	吹[风]	0	673	blow (V)	585	吹	673	0
2745	Lianchang	blow	106	[]pha33气	1	672	blow (V)	585	歕	672	0
2746	Ningbo	blow	106	吹	0	673	blow (V)	585	吹	673	0
2747	Yingshan	blow	106	吹	0	673	blow (V)	585	吹	673	0
2748	Chengdu	blow	106	吹	0	673	blow (V)	585	吹	673	0
2749	Zhanping	blow	106	歕	1	672	blow (V)	585	歕	672	0
2750	Shanghai	blow	106	吹	0	673	blow (V)	585	吹	673	0
2751	Shanghai_B	blow	106	吹	0	673	blow (V)	585	吹	673	0
2752	Xiamen	blow	106	歕	1	672	blow (V)	585	歕	672	0
2753	Anyi	blow	106	吹	0	673	blow (V)	585	吹	673	0
2754	Beijing	blow	106	吹	0	673	blow (V)	585	吹	673	0
2755	Wenzhou	blow	106	吹	0	673	blow (V)	585	吹	673	0
2756	Taibei	blow	106	pun13[口盆]	1	672	blow (V)	585	歕	672	0
2757	Wuhan	blow	106	吹	0	673	blow (V)	585	吹	673	0
2758	Taiyuan	blow	106	吹	0	673	blow (V)	585	吹	673	0
2759	Yuci	blow	106	吹	0	673	blow (V)	585	吹	673	0
2760	Changsha	blow	106	吹	0	673	blow (V)	585	吹	673	0
2761	Shuangfeng	blow	106	吹	0	673	blow (V)	585	吹	673	0
#
226	Guangzhou	bone	10	骨	0	49	bone	614	骨	49	0
227	Suzhou	bone	10	骨头	0a	48	bone	614	骨頭	48	0
228	Meixian	bone	10	骨头	0a	48	bone	614	骨頭	48	0
229	Nanchang	bone	10	骨头	0a	48	bone	614	骨頭	49	1
230	Fuzhou	bone	10	骨	0	49	bone	614	骨	49	0
